acquisition  n. 获得.添加的物品
contempt  n.轻蔑;藐视 
contend  vi.竞争 vt.坚决主张 
contradict  vt.反驳.否认 
contrive  vt.vi. 发明.设计.图谋 
controversial  a. 争论的.论争的.被议论的 
controversy  n.争论.辩论.争吵 
converge  vi. 聚合.集中于一点 
convict  n. 囚犯.罪犯 vt. 宣告有罪 
cordial  a.真诚的.诚恳的 
corps  n. 军团.队.团.兵种 
corrode  vt.vi 腐蚀.侵蚀.破坏 
corrupt  vt.贿赂 a.腐败的 
costume  n. 装束.服装 
courtesy  n.礼貌.谦恭.请安 
cripple  n.跛子;残废的人 
criterion  n.标准.准则.尺度 
crucial  a. 决定性的.重要的.严厉的 
cue  n. 开端.线索.发辫.长队 
culminate  vi.vi. 到绝顶.达于极点.达到高潮 
cumulative  a. 累积的 
curb  n. 抑制.勒马绳 vt. 抑制.束缚 
curt  a. 简略的.简短的.生硬的 
cynical  a. 愤世嫉俗的.讽刺的.冷嘲的 
deficit  n. 赤字.不足额 
degenerate  a. 堕落的 vi.vt使变质.使退化 .
deliberate  a.深思熟虑的;审慎的 
denote  vt.指示.意味着 
denounce  vt.谴责.声讨;告发 
depict  vt. 描述.描写 
designate  vt.指出.指示;指定 
despatch  vt.vi.n. 派遣 
despise  vt.鄙视.蔑视 
deteriorate  vt.vi. (使)恶化 
diffuse  vt.vi. 散播.传播 a. 散开的.弥漫的 
dilemma  n. 困境.进退两难的局面 
dilute  vt. 冲淡.稀释 a. 淡的.稀释的 
discern  vt.看出.辨出;辨别 
discrepancy  n. 相差.差异.差别 
discrete  a. 不连续的. 离散的 
disguise  vi.隐瞒.掩埋 n.假装 
dismay  n.惊慌.沮丧.灰心 
dispatch  vt.派遣;调度 n.急件 
disperse  vt.(使)分散;驱散 
disposition  n. 性情.处置.处理.布置 
disrupt  a. 分裂的.分散的 vt. 使分裂.使瓦解 
dissipate  vt.驱散;浪费vi.消散 
distil  v. 蒸馏. 提取....的精华 
disturbance  n.动乱;干扰;侵犯 
divine  a.神的;敬神的 
drastic  a.激烈的;严厉的 
dubious  a. 可疑的.不确定的 
dwell  n.居住 vi.凝思.细想 
eccentric  n. 怪人.偏心圆 a. 古怪的.不同圆心的 
edible  a. 可食用的 n. 食品.食物 
ego  n. 自我 
elicit  vt. 引出.抽出.引起 
elite  n. 精华.精锐.中坚分子 
eloquent  a. 雄辩的.有口才的.动人的 
embark  vi. 乘船.着手.从事.上飞机 
empirical  a.经验主义的 
endow  vt.资助;赋予.授予 
enhance  vt.提高.增加;夸张 
ensue  vt. 追求 vi. 跟着发生.继起 
entail  vt. 使必需.使承担 
entity  n. 实体.实存物.存在 
entrepreneur  n. 企业家.主办人 
envisage  vt. 面对.正视.想象 
epoch  n.(新)时代;历元 
equilibrium  n.平衡.均衡;均衡论 
erosion  n.腐蚀.侵蚀;糜烂 
erroneous  a. 错误的.不正确的 
escort  n. vt.护卫.护送 
essence  n.本质.本体;精华 
esthetic  a. 审美的 
ethics  n. 道德规范 
ethnic  a.民族特有的 
evoke  vt. 唤起.引起 
exemplify  vt.举例证明(解释) 
exempt  a. 免除的 vt. 使免除.豁免 
exile  vt.流放 n.被流放者 
exotic  a. 异国的.外来的 n. 外来物.舶来品 
expertise  n. 专家的意见.专门技术 
expire  vi.满期.到期;断气 
explicit  a.明晰的;直率的 
exposition  n.说明.解释;陈列 
exquisite  a. 精致的.细腻的.敏锐的 
extinct  a.绝种的;熄灭了的 
extinguish  vt.熄灭.扑灭;消灭 
extravagant  a.奢侈的;过度的 
fabricate  vt.制作.组合;捏造 
facet  n. 小平面.方面.刻面 
facilitate  vt.使容易;助长 
feeble  a.虚弱的;微弱的 
flank  n.肋.肋腹;侧面 
flap  vt. n.拍打 vi.拍动 
fling  vi. vt.(用力)扔.抛 
fluctuate  vi.波动 vt.使波动 
flutter  vi.(鸟)振翼;飘动 
foam  n.泡沫;泡沫塑料 
foil  n. 箔.金属薄片 vt. 贴箔于. 衬托 
formidable  a.可怕的;难对付的 
formulate  vt.用公式表示 
fort  n.要塞.堡垒 
fossil  n.化石 a.化石的 
foster  vt.养育.抚养;培养 
foul  a.肮脏的;丑恶的 
fracture  n.破裂;裂痕 vi.破裂 
fraud  n. 骗子.欺骗.欺诈.诡计 
fringe  n.穗.毛边;边缘 
frustrate  vt.挫败;使无效 
galaxy  n. 银河.星系.一群显赫的人物 
gaol  n. 监禁.监狱 vt. 监禁 
garment  n.衣服;服装.衣着 
gasp  vi.气喘.喘息 
gear  n.齿轮.传动装置 
glide  vi.滑动;消逝 n.滑行 
gloomy  a.黑暗的;令人沮丧的 
gorgeous  a.绚丽的;极好的 
gossip  n.闲谈;碎嘴子;漫笔 
graze  vi.喂草;放牧(牲畜) 
grease  n.动物脂.脂肪 
grief  n.悲哀.悲痛.悲伤 
grieve  vt.使悲痛 vi.悲痛 
grim  a.冷酷无情的.严厉的 
grope  vi.(暗中)摸索.探索 
hamper  vt.妨碍.阻碍.牵制 
hatch  vt.舱盖.舱口;短门 
haul  vt.拖曳;拖运
haunt  vt.常去 vi.经常出没 
heal  vt.治愈;使和解 
heave  vt.(用力地)举起;抛 
heir  n.后嗣.继承人 
heritage  n. 遗产.继承物.传统 
hierarchy  n.等级制度.统治集团 
hinder  a. 后面的 vt.vi. 阻碍.打扰 
hinge  n.合页.折叶.铰链 
hitherto  ad.迄今.到目前为止 
hoist  vt.升起 vi.扯起来 
homogeneous  a.同类的;均匀的 
hose  n.长筒袜;软管 
hover  vi.徘徊;傍徨;翱翔 
humidity  n.湿气;湿度 
hurl  vt.猛投 vi.猛冲 
hypothesis  n.假设;前提 
hysterical  a. 歇斯底里的.异常兴奋的 
ideology  n. 意识形态.思想体系 
ignite  vt.引燃 vi.着火 
illuminate  vt.照明.照亮;阐明 
illusion  n.幻想;错觉;假象 
imaginative  a. 想象的.虚构的 
imitation  n.仿制品.伪制物 
immerse  vt.沉浸;给…施洗礼 
immune  a. 免疫的.免除的.不受影响的 
impair  vt. 损害.减少.削弱 
impart  vt.给予.传递;告诉 
imperative  n. 命令. a.命令式的.急需的.强制的 
imperial  a. 帝王的.至尊的 n. 特等品 
impetus  n. 动力.推动力.激励 
implement  n.工具 vt. 实现.使生效.执行 
implicit  a. 暗示的.盲从的.绝对的.固有的 
inaugurate  vt.开始;使就职 
incentive  n. 动机 a. 激励的 
incidentally  ad.附带地;顺便提及 
inclusive  a.包围住的;包括的 
incredible  a.难以置信的.惊人的 
incur  vt. 招致.蒙受.遭遇 
indefinite  a.不明确的;不定的 
indicative  a.指示的;陈述的 
indignant  a.愤慨的.义愤的 
indignation  n.愤怒.愤慨.义愤 
induce  vt.劝诱;引起;感应 
indulge  vt.放纵(感情)vi.纵情 
inertia  n.惯性.惯量;无力 
inflation  n.通货膨胀.物价飞涨 
inflict  vt. 施以.加害.使承受 
ingenious  a.机灵的;精巧制成的 
ingredient  n.配料.成分 
inhibit  vt. 禁止.抑制 
innovation  n.创新.改革.新设施 
insane  a. 患精神病的.不理智的 
installment  n.分期付款 
instantaneous  a.瞬间的.即刻的 
insulate  vt.使绝缘.使绝热 
intact  a.原封不动的.完整的 
integral  a.组成的;整的 
integrate  vt.使结合.使并入 
integrity  n.诚实.正直 
intelligible  a. 可理解的.易理解的.明了的 
intensify  vt.vi. 加强.强化 
intent  a.目不转睛的.热切的 
interim  a. 中间的.暂时的.间歇的.n.过渡时期 
intermittent  a. 间歇的.断断续续的 
intersection  n. 交集.十字路口.交叉点 
intimidate  vt. 威胁.恐吓.胁迫 
intricate  a. 复杂的.错综的.缠结的.难懂的 
intrigue  n. 阴谋 vi. 密谋.耍诡计 vt. 激起兴趣 
intrinsic  a. 本质的.原有的.真正的 
intuition  n. 直觉.直觉的知识 
invalid  n.病人 a.有病的.无效的 
invaluable  a. 无价的.价值无法衡量的 
invariably  ad.不变地.永恒地 
inventory  n. 详细目录.存货清单 
invert  vt. 使反转.使颠倒.使转化 
irony  n. 反讽.讽剌.讽剌之事 
irrespective  a.不考虑的.不顾的 
irrigation  n.灌溉;冲洗法 
irritate  vt.激怒;引起不愉快 
ivory  n.象牙;牙质;乳白色 
jail  n.监狱 vi.监禁 
jeopardize  vt. 危害.使受危困.使陷危地 
jerk  vt.猛地一拉 vi.急拉 
journalist  n.记者.新闻工作者 
junction  n.连接;接头;中继线 
jury  n.陪审团;评奖团 
justification  n. 辩护.证明是正当的.释罪 
kidney  n.肾.腰子;性格 
kit  n.成套工具;用具包 
knit  vt.把…编结 vi.编织 
knob  n.门把.拉手;旋纽 
lamb  n.羔羊.小羊;羔羊肉 
lame  a.跛的;瘸的.残废的 
landscape  n.风景.景色.景致 
latent  a.存在但看不见的 
latitude  n.纬度;黄纬 
layman  n. 俗人.门外汉.凡人 
leaflet  n.传单.活页;广告 
lease  n.租约.契约.租契 
legend  n.传说.传奇 
legislation  n.立法;法规 
legitimate  a. 合法的.正当的 vt. 使合法 
liability  n.责任;倾向;债务 
lick  vt.舔;舔吃 
likelihood  n.可能(性) 
limp  vi.蹒跚.跛行 n.跛行 
linear  a.线的;长度的 
liner  n.班船.班机 
linger  vi.逗留.徘徊;拖延 
literacy  n. 读写能力.识字 
literal  a.文字(上)的;字面的 
litter  n.废物.杂乱 vi.乱扔 
lobby  n.前厅.(剧院的)门廊 
locality  n.位置.地点.发生地 
locomotive  a.运动的;机动 
lofty  a.高耸的;高尚的 
longitude  n.经线.经度 
lounge  n.(旅馆等的)休息室 
lubricate  vt.使润滑vi.加润滑油 
luminous  a.发光的;光明的 
lunar  a.月亮的 
magnify  vt.放大.扩大 
magnitude  n.大小;重大;星等 
majesty  n.威严.尊严;陛下 
mall  n.大型购物中心 
manifest  vt.表明 a.明白的 
manipulate  vt.操作;控制.手持 
manoeuvre  n.vi. 调遣.演习 vt. 调动.操纵 
manuscript  n.手稿.底稿.原稿 
marble  n.大理石 
marginal  a.记在页边的;边缘的 
marsh  n.沼泽地.湿地 
marshal  n.元帅;陆军元帅 
masculine  a.男性的;强壮的 
massive  a.粗大的;大而重的 
masterpiece  n.杰作.名著 
meadow  n.草地.牧草地 
mechanism  n.机械装置;机制 
medal  n.奖章.勋章.纪念章 
media  n. 媒体 
mediate  a. 居间的.间接的vt. 斡旋.调停 
medieval  a. 中古的.中世纪的 
Mediterranean  n.地中海 a.地中海的 
melody  n.旋律.曲调;歌曲 
membership  n.成员资格;会员人数 
menace  vt.&vi.&n.(进行)威胁 
merge  vt. 使合并.使并为一体 
mess  vt.弄脏.弄乱.搞糟 
messenger  n.送信者.信使 
metallic  a.金属的 n.金属粒子 
metropolitan  a.主要都市的n.大主教 
midst  n.中部.中间.当中 
migrate  vi.迁移.移居 
militant  a. 好战的 
mingle  vt.使混合vi.混合起来 
miniature  n.缩影 a.缩小的 
minimal  a. 最小的.极微的.最小限度的 
minimize  vt.使减到最小 
misery  n.痛苦.悲惨.不幸 
misfortune  n.不幸.灾祸.灾难 
missionary  n.传教士 
mobilize  vt.动员 vi.动员起来 
mock  n.嘲弄 vt.嘲弄.挖苦 
momentum  n. 动力.要素 
monopoly  n.垄断.独占.专利 
monster  n.怪物;畸形的动植物 
morality  n.道德.美德.品行 
mortal  a.终有一死的;致死的 
mortgage  n.抵押 vt.抵押 
motel  n.汽车游客旅馆 
mourn  vi.哀痛.哀悼 
muddy  a.多泥的.泥泞的 
multitude  n.大批.大群;大量 
municipal  a.市的.市立的 
murmur  vi. 低语.低声而言 n.低语 
muscular  a.肌肉发达的.强健的 
mutter  vi.轻声低语;抱怨 
myth  n. 神话.虚构的事.虚构的人 
naive  a. 天真的.纯真的.朴素的 
narrative  n. 叙述.故事 a. 叙述的.叙事的 
nasty  a.龌龊的;淫猥的 
necessitate  vt. 迫使.使成为必需.需要 
negligible  a.微不足道的 
negotiate  vi.谈判.交涉.议定 
nickel  n.镍;镍币 
nightmare  n.恶梦;经常的恐惧 
nominal  a. 名义上的.名字的 n. 名词性词 
nominate  vt.提名.推荐;任命 
nonetheless  adv. 尽管如此.然而 
norm  n.标准.规范;平均数 
notable  n.值得注意的;著名的 
notation  n. 记号法.表示法.注释 
notify  vt.通知.告知;报告 
notion  n.概念.意念;看法 
notorious  a.臭名昭著的 
notwithstanding  prep.尽管.虽然 
nourish  vt.提供养分.养育 
novelty  n.新颖;新奇的事物 
numerical  a.数字的.数值的 
nutrition  n. 营养.营养学 
oath  n.誓言.誓约.宣誓 
obedient  n.服从的.顺从的 
obligation  n.义务.职责.责任 
obscene  a. 淫秽的.猥亵的 
obscure  a.阴暗的;蒙昧的 
odor  n. 气味.名声.味 
offence  n.犯罪.犯规;冒犯 
offensive  a.冒犯的;进攻的 
offset  n.分支.抵销 vt.抵销 
offspring  n.儿女.子孙.后代 
opaque  a.不透明的;不传导的 
oppress  vt.压迫.压制;压抑 
optimism  n.乐观.乐观主义 
optimum  n.最适条件.最适度 
option  n.选择.取舍 
orient  n.东方;亚洲.远东 
oriental  a.东方的;东方国家的 
orientation  n.向东;定位;方向 
originate  vi.发源 vt.首创 
ornament  n.装饰物 vt.装修 
orthodox  a. 正统的.传统的.惯常的 
outbreak  n.(战争、愤怒等)爆发 
oval  a.卵形的 n.卵形 
overflow  vt.从…中溢出 
overhear  vt.偶然听到;偷听 
overlap  vt.与…交搭 vi.重迭 
overt  a. 明显的.公然的 
overthrow  vt.推翻 n.推翻.瓦解 
overwhelm  vt.压倒.使不知所措 
oxide  n.氧化物 
pamphlet  n.小册子 
panic  n.恐慌.惊慌 
paradise  n.伊甸乐园;天堂 
paradox  n. 似非而是的论点.自相矛盾的话 
paralyze  vt. 使瘫痪.使麻痹 
parameter  n.参(变)数;参量 
participant  n.参加者 a.有份的 
partition  n.分开.分割;融墙 
pastime  n.消遣.娱乐 
pasture  n.牧场;牲畜饲养 
patent  a.专利的 n.专利 
pathetic  a.哀婉动人的;可怜的 
patriotic  a.爱国的 
patrol  n.巡逻 n.巡逻.巡查 
pave  vt.铺.筑(路等) 
pearl  n.珍珠;珍珠母 
pedal  n.踏脚.踏板.脚蹬 
pedestrian  n.行人.步行者 
peel  vt.剥(皮).削(皮) 
peer  vi.凝视;隐约出现 
penalty  n.处罚.刑罚;罚款 
pendulum  n.(钟等的)摆 
pension  n.抚恤金.年金 
perception  n.感觉;概念;理解力 
perfection  n.尽善尽美;无比精确 
perfume  n.香味.芳香;香料 
periodic  n.周期的;一定时期的 
periodical  n.期刊.杂志 
perish  vi.死亡.夭折;枯萎 
permeate  vt. 弥漫.渗透.充满 vi. 透入 
permissible  a. 可允许的 
perpetual  a.永久的;四季开花的 
perplex  vt.迷惑.困惑.难住 
persistent  a. 固执的.坚持的.持续的 
pest  n.害虫;害人虫 
petition  n.请愿 vt.向…请愿 
petty  a.细小的;器量小的 
physiological  a. 生理学的.生理学上的 
plague  n.瘟疫.鼠疫;天灾 
plaster  n.灰泥;硬膏;熟石膏 
plateau  n.高原;平稳时期 
plausible  a. 似乎真实的.似乎合理的 
plea  n.请愿.请求.恳求 
plea  n.请愿.请求.恳求 
plead  vt.为…辩护 vi.抗辩 
pledge  n.誓言 vt.使发誓 
poke  vt.戳.刺;伸(头等) 
polar  a.南(北)极的;极性的 
poll  n.投票 vi.投票 
ponder  vt.考虑 vi.沉思 
pope  n.(罗马天主教的)教皇 
porch  n.门廊.入口处 
pore  n.毛孔.气孔.细孔 
portray  vt. 描绘.描写.描写...的肖像. 
pose  vi.假装.摆姿势 n.姿势 
poster  n. 海报.招贴.脚夫 
postulate  vt.要求.假定.假设 
practicable  a.能实行的;适用的 
prayer  n.祈祷.祈求 
preach  vt.说教.布道;鼓吹 
precede  vt.先于… vi.领先 
precipitate  a.突如其来的 vt.使突然发生 n. 沉淀物 
preclude  vt. 预先排除.预防.阻止.妨碍 
predecessor  n.前辈.前任者 
predominant  a.占优势的;主要的 
pregnant  a.怀孕的;意义深长的 
premature  a. 早熟的.过早的 n. 早产儿 
premise  n. 前提.假设.房产 
premium  n. 额外费用.奖金.奖赏.保险费 
prescription  n.药方.处方的药 
presentation  n.介绍;赠送;呈现 
preside  vi.主持;主奏 
prestige  n.威望.威信.声望 
presumably  ad.推测起来.大概 
presume  vt.假定.假设.揣测 
pretext  n. 借口.托辞 
prevalent  a.流行的;盛行的 
prey  vi.猎物 vi.捕获
priest  n.教士.牧师.神父 
priority  n.先.前;优先.重点 
privacy  n. 隐私.隐居.秘密 
probe  n.探针 vt.用探针探查 
proceeding  n.程序.行动.事项 
proclaim  vt.宣告.宣布;表明 
productive  a.生产的;出产…的 
productivity  n.生产率;多产 
proficiency  n.熟练.精通 
profile  n. 侧面.轮廓.人物素描.传略 
profitable  a.有利的;有益的 
profound  a.深刻的;渊博的 
prolong  vt.延长.拉长.拖延 
promising  a.有希望的;有前途的 
prone  a. 俯伏的.易于...的 
propaganda  n.宣传;宣传机构 
propagate  vt.繁殖;传播.普及 
propel  vt.推进.推动 
prophet  n.预言家.先知 
proposition  n.命题.主题;提议 
prose  n.散文 
prospective  a. 有希望的.预期的.将来的 
prototype  n.原型;典型.范例 
provocative  a. 挑衅的.刺激的.挑逗的 
provoke  vt. 激怒.惹起.驱使 
proximity  n. 接近.亲近 
publicity  n. 公开.名声.宣传 
purify  vt.提纯.精炼(金属) 
purity  n.纯净;纯洁;纯度 
pursuit  n.追赶;追求;事务 
qualification  n.资格;限制条件 
qualitative  a.质的;定性的 
quantify  vt.确定…的数量 
quantitative  a.量的;定量的 
quart  n.夸脱(=2品脱) 
quarterly  a.季度的 ad.季度地 
quartz  n.石英 
queer  a.奇怪的.古怪的 
quench  vt.熄灭.扑灭;压制 
quest  vt.寻找 vi.追求 
questionnaire  n.调查表.征求意见表 
quiver  vi.(轻微地)颤动 
racket  n.球拍 
radiant  a.绚丽的;容光焕发的 
radiate  vi.发射光线;辐射 
radical  a.基本的;激进的 
rage  n.(一阵)狂怒.盛怒 
raid  n.袭击;突然搜查 
rally  n.&vt.&vi.(重新)集合 
random  n.随机 a.随机的 
rating  n. 等级.评定结果.收视（听）率 
readily  ad.乐意地;无困难地 
realistic  a.现实的;现实主义的 
reap  vt.&vi.收割.收获 
rebellion  n.造反;叛乱;反抗 
recession  n. （经济）衰退.不景气 
recipe  n.菜谱.烹饪法;处方 
recipient  n. 接受者.接收者 
reciprocal  a.相互的;互利的 
recite  vt.&vi.背诵.朗诵 
reckless  a.粗心大意的;鲁莽的 
reckon  vi.数.算帐 vt.认为 
reclaim  vt.开垦.开拓;回收 
reconcile  vt.使和好;调停 
recreation  n.消遣.娱乐活动 
recruit  vi. 征募（新兵）.招收 n. 新兵.新成员 
rectangular  a. 矩形的.成直角的 
rectify  vt.纠正;调整;精馏 
recur  vi. 复发.重现.再发生 
recycle  vt. 使再循环.再利用.再制 
redundant  a. 多余的.过多的.冗长的 
refrain  vi.抑制.制止.忍住 
refreshment  n.茶点.点心.便餐 
refugee  n.难民.流亡者 
refute  vt.驳斥.反驳.驳倒 
regime  n.政体.政权;制度 
reign  n.朝代 
rejoice  vi.欣喜.高兴 
relay  vt.分程传递;使接替 
reliance  n.信任.信赖.信心 
remainder  n.剩余(物);余数 
remnant  n. 残留部分.遗迹 a. 剩余的.残余的 
renaissance  n. 复活.复兴.文艺复兴 
repay  vt.&vi.偿还.报答 
repel  vt.拒绝;使厌恶 
repertoire  n. 全部剧目.保留剧目.全部技能 
replacement  n.归还;取代;置换 
representation  n.描写;陈述;代表 
reproach  vt.&n.责备.指责 
republican  a.共和国的 
resemblance  n.相似.相似性 
resent  vt.对…不满.怨恨 
reservation  n.保留;预定.预订 
reside  vi.居住.驻扎;属于 
residential  a. 住宅的.与居住有关的 
resonance  n. 共鸣.回声.共振 
resultant  a.作为结果而发生的 
retail  n.零售 a.零售的 
retention  n. 保留.保有.保持 
retort  vt.&vi.反击;反驳 
retrieve  vt. 取回.挽回. 检索 
retrospect  n. 回顾.追忆.回溯 
revelation  n. 揭露.泄露.启示.展示 
revenge  vt.替…报仇 n.报仇 
revive  vt.&vi.苏醒;复兴 
revolve  vt.&vi.(使)旋转 
rig  vt. 操纵.垄断 n. 钻井架.塔台 
rigorous  a.(性格等)严峻的 
rim  n.边;边缘.(眼镜)框 
riot  n.&vi.骚乱.暴乱 
rip  vi.撕啐.扯破.划破 
ripple  n.涟漪.细浪.波纹 
ritual  n. 仪式 a. 仪式的.例行公事的 
robust  a. 强健的.粗野的.坚定的 
romance  n.传奇;浪漫文学 
rot  vt.烂.腐坏 n.腐烂 
royalty  n.皇家.王族.皇族 
rupture  n. 破裂.决裂 vt.(使)破裂 
scared  adj. 受惊吓的 
safeguard  n.保护措施;护照 
saint  n.圣徒;基督教徒 
sanction  n. 制裁.批准 
saturate  vt. 使浸透.使充满.使饱和 
sauce  n.调味汁.酱汁 
savage  a. 未开发的.野蛮的.残暴的 n.野蛮人 
scandal  n.丑事.丑闻;耻辱 
scar  n.瘢痕 
scent  n.气味.香味;香水 
sceptical  a. 怀疑的 
scorn  n.轻蔑;嘲笑 vt.轻蔑 
scrap  n.碎片;废料 vt.废弃 
script  n. 手迹.手稿.剧本.字母表 
scrutiny  n. 细看.仔细检查.监视 
sculpture  n. 雕刻.雕塑.雕刻(术) 
seam  n.缝口;接缝;骨缝 
sector  n.部门.部分.扇形 
seemingly  ad.表面上.外表上 
segment  n.切片.部分;段.节 
segregate  a. 分离的.被隔离的 vt. 使分离.使隔离 
seminar  n. 研究会.讨论发表会 
senator  n.参议员;评议员 
sensation  n.感觉.知觉;轰动 
sentiment  n.感情;情操;情绪 
sexual  a. 性的.性别的 
shabby  a.褴褛的;破旧的 
shaft  n.(工具的)柄.杆状物 
shatter  vt.粉碎.破碎;毁坏 
sheer  a.纯粹的;全然的;陡峭的 
shipment  n.装货;装载的货物 
shrewd  a. 精明的.敏锐的.机灵的 
shrug  vt.&vi.耸(肩) n.耸肩 
shutter  n.百叶窗;(相机)快门 
shuttle  n.(织机的)梭 
signify  vt.表示.意味着 
silicon  n.硅(旧名矽) 
simulate  vt. 模拟.假装.模仿 
simultaneous  a.同时的.同时存在的 
sin  n.罪.罪孽 vi.犯罪 
situated  a.位于…的 
skeleton  n.骨骼.骷髅;骨架 
skeptical  a. 怀疑的.多疑的 
skip  vi.跳;跳绳;略过 
slack  a. 松弛的;萧条的;懈怠的;vt.使松弛 
slap  vt.掴.拍 n.巴掌.拍 
slaughter  vt.&n.屠杀.屠宰 
slim  a.细长的;微小的 
slogan  n.标语.口号 
slot  n. 缝.狭槽.位置.职位 
slum  n.贫民窟.贫民区 
smash  vt.打碎.打破.粉碎 
smuggle  vt.私运 vi.走私 
snack  n.快餐.小吃 
snap  vt.猛咬.突然折断 
snatch  n. 抢夺.攫取.片段 vt. 夺取.攫取 
soar  vi. 猛增.高耸.高飞.翱翔 
sober  a.清醒的;适度的 
sociology  n.社会学 
software  n.(计算机的)软件 
solidarity  n.团结;休戚相关 
solitary  n. 独居者 a. 孤独的.独居的 
solo  n.独唱.独奏;独唱曲 
sovereign  n.君主 a.统治的 
spacious  a.广阔的.广大的 
sparkle  vi.发火花 vt.使闪耀 
spatial  a.空间的.占据空间的 
speciality  n.专业.特长;特产 
species  n.种.物种;种类 
specifically  ad. 特定的.明确的 
specification  n.载明.详述;规格 
spectacle  n.场面;景象.奇观 
spectacular  a. 公开展示的.惊人的 n. 展览物 
spectator  n.参观者.观众 
spectrum  n.系列.范围;波谱 
speculate  vi.思索.沉思;投机 
spiral  a.螺旋(形)的.盘旋的 
splash  vt.溅泼 vi.泼水 n.溅 
spokesman  n.发言人.代言人 
sponge  n.海绵 
spontaneous  a.自发的;本能的 
spouse  n. 配偶.夫妻 
spy  n.间谍.特务 vt.侦察 
stabilize  vt. 使稳定.使坚固 vi. 稳定.安定
stagger  vi.蹒跚 vt.使摇晃 
staircase  n.楼梯.楼梯间 
stall  n.货摊.书摊;厩 
startle  vt.使大吃一惊 n.吃惊 
stationary  a.固定的.静止不动的 
statistics  n.统计.统计数字 
stereo  n.立体声 a.立体声的 
stereotype  n.陈腔滥调.老套 
stern  n.艉.船尾;臀部 
stimulus  n. 刺激.激励.刺激品 
stitch  n.一针.缝线 vt.缝 
straightforward  a.老实的 ad.坦率地 
strategic  a. 战略的.战略上的 
streamline  n.流线;流线型 
stride  vi.大踏步走 n.大步 
striking  a.显著的.惊人的 
strive  vi.努力.奋斗.力求 
stubborn  a.顽固的;顽强的 
studio  n.工作室;播音室 
stumble  vi.绊倒;犯错误 
sturdy  a.坚定的;牢固的 
subjective  a. 主观的.个人的 
subordinate  a.下级的.辅助的 
subscribe  vi.订购.认购;预订 
subsidiary  a.辅助的.补充的 
subsidy  n. 补助金.津贴 
subtle  a.微妙的;精巧的 
successor  n.继承人.继任者 
sue  vt. 控告.请愿 
suffice  vi.足够;有能力 
suicide  n.&vi.&vt.自杀 
suitcase  n.小提箱.衣箱 
summit  n.顶点.最高点;极度 
summon  vt.召唤;鼓起(勇气) 
superb  a.壮丽的;超等的 
superiority  n.优越(性).优势 
supersonic  a.超声的.超声速的 
supervise  vt.&vi.监督.监视 
supplementary  a. 补足的.补充的.追加的 
suppress  vt.镇压;抑制;隐瞒 
surge  n.vt. 激增.奔放.汹涌.澎湃 
surgeon  n.外科医师;军医 
surpass  vt.超过.超越.胜过 
surplus  n.过剩.剩余(物资) 
survival  n.幸存.残存;幸存者 
susceptible  a. 易受影响的.易感动的 
suspension  n. 悬挂.暂停.中止 
